Province	Electoral district number	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname	Middle name(s)	Given name	Political affiliation	Appartenance politique	Votes obtained	% Votes obtained	Rejected ballots	Total number of ballots cast
Newfoundland and Labrador	10001	Avalon	Avalon	validated	validés	Chapman		Matthew	Conservative	Conservateur	12855	31.1	397	41731
Newfoundland and Labrador	10001	Avalon	Avalon	validated	validés	Malone		Greg	Green Party	Parti Vert	2215	5.4	397	41731
Newfoundland and Labrador	10001	Avalon	Avalon	validated	validés	McDonald		Kenneth	Liberal	Libéral	19122	46.3	397	41731
Newfoundland and Labrador	10001	Avalon	Avalon	validated	validés	Movelle		Lea Mary	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7142	17.3	397	41731
Newfoundland and Labrador	10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	validated	validés	Cooper		Matthew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3855	12	609	32788
Newfoundland and Labrador	10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	validated	validés	Reichel		Kelsey	Green Party	Parti Vert	920	2.9	609	32788
Newfoundland and Labrador	10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	validated	validés	Rogers		Churence	Liberal	Libéral	14707	45.7	609	32788
Newfoundland and Labrador	10002	Bonavista--Burin--Trinity	Bonavista--Burin--Trinity	validated	validés	Vokey		Sharon	Conservative	Conservateur	12697	39.5	609	32788
Newfoundland and Labrador	10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	validated	validés	Bracci		Alex	Conservative	Conservateur	12081	35.3	770	34952
Newfoundland and Labrador	10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	validated	validés	Joe		Noel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4224	12.4	770	34952
Newfoundland and Labrador	10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	validated	validés	Simms		Scott	Liberal	Libéral	16514	48.3	770	34952
Newfoundland and Labrador	10003	Coast of Bays--Central--Notre Dame	Coast of Bays--Central--Notre Dame	validated	validés	White		Byron	Green Party	Parti Vert	1363	4	770	34952
Newfoundland and Labrador	10004	Labrador	Labrador	validated	validés	Colbourne		Tyler	Green Party	Parti Vert	224	2	139	11558
Newfoundland and Labrador	10004	Labrador	Labrador	validated	validés	Flemming		Larry	Conservative	Conservateur	3548	31.1	139	11558
Newfoundland and Labrador	10004	Labrador	Labrador	validated	validés	Gray		Michelene	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2796	24.5	139	11558
Newfoundland and Labrador	10004	Labrador	Labrador	validated	validés	Jones		Yvonne	Liberal	Libéral	4851	42.5	139	11558
Newfoundland and Labrador	10005	Long Range Mountains	Long Range Mountains	validated	validés	Eisses		Josh	Conservative	Conservateur	10873	28.3	576	39002
Newfoundland and Labrador	10005	Long Range Mountains	Long Range Mountains	validated	validés	Hutchings		Gudie	Liberal	Libéral	18199	47.4	576	39002
Newfoundland and Labrador	10005	Long Range Mountains	Long Range Mountains	validated	validés	Knill		Lucas	Green Party	Parti Vert	1334	3.5	576	39002
Newfoundland and Labrador	10005	Long Range Mountains	Long Range Mountains	validated	validés	Miles		Robert	VCP	CAC	411	1.1	576	39002
Newfoundland and Labrador	10005	Long Range Mountains	Long Range Mountains	validated	validés	Pike		Holly	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7609	19.8	576	39002
Newfoundland and Labrador	10006	St. John's East	St. John's-Est	validated	validés	Harris		Jack	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	21148	46.9	528	45600
Newfoundland and Labrador	10006	St. John's East	St. John's-Est	validated	validés	Peters		David	Green Party	Parti Vert	821	1.8	528	45600
Newfoundland and Labrador	10006	St. John's East	St. John's-Est	validated	validés	Wall		Joedy	Conservative	Conservateur	8141	18.1	528	45600
Newfoundland and Labrador	10006	St. John's East	St. John's-Est	validated	validés	Whalen		Nick	Liberal	Libéral	14962	33.2	528	45600
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	Anonsen		Anne Marie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	10890	26.8	592	41258
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	Hayward		Alexandra	Green Party	Parti Vert	740	1.8	592	41258
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	Jones		David	Christian Heritage Party	Parti de l'Héritage Chrétien	141	.3	592	41258
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	Martin		Terry	Conservative	Conservateur	7767	19.1	592	41258
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	O'Regan		Seamus	Liberal	Libéral	20793	51.1	592	41258
Newfoundland and Labrador	10007	St. John's South--Mount Pearl	St. John's-Sud--Mount Pearl	validated	validés	Ruckpaul		Benjamin	People's Party	Parti populaire	335	.8	592	41258
Prince Edward Island	11001	Cardigan	Cardigan	validated	validés	Beaton		Glen	Green Party	Parti Vert	3068	13.8	232	22399
Prince Edward Island	11001	Cardigan	Cardigan	validated	validés	MacAulay		Lawrence	Liberal	Libéral	10939	49.3	232	22399
Prince Edward Island	11001	Cardigan	Cardigan	validated	validés	Phelan		Wayne	Conservative	Conservateur	6439	29	232	22399
Prince Edward Island	11001	Cardigan	Cardigan	validated	validés	Squires		Christene	Christian Heritage Party	Parti de l'Héritage Chrétien	240	1.1	232	22399
Prince Edward Island	11001	Cardigan	Cardigan	validated	validés	Thiele		Lynne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1481	6.7	232	22399
Prince Edward Island	11002	Charlottetown	Charlottetown	validated	validés	Byrne		Joe	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2238	11.2	274	20184
Prince Edward Island	11002	Charlottetown	Charlottetown	validated	validés	Campbell		Robert A.	Conservative	Conservateur	4040	20.3	274	20184
Prince Edward Island	11002	Charlottetown	Charlottetown	validated	validés	Casey		Sean	Liberal	Libéral	8812	44.3	274	20184
Prince Edward Island	11002	Charlottetown	Charlottetown	validated	validés	Lanthier		Darcie	Green Party	Parti Vert	4648	23.3	274	20184
Prince Edward Island	11002	Charlottetown	Charlottetown	validated	validés	MacLeod		Fred	Christian Heritage Party	Parti de l'Héritage Chrétien	172	.9	274	20184
Prince Edward Island	11003	Egmont	Egmont	validated	validés	Clark		Alex	Green Party	Parti Vert	3998	19.8	274	20452
Prince Edward Island	11003	Egmont	Egmont	validated	validés	Dunn		Sharon	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1230	6.1	274	20452
Prince Edward Island	11003	Egmont	Egmont	validated	validés	McLellan		Logan	Conservative	Conservateur	6934	34.4	274	20452
Prince Edward Island	11003	Egmont	Egmont	validated	validés	Morrissey		Bobby	Liberal	Libéral	8016	39.7	274	20452
Prince Edward Island	11004	Malpeque	Malpeque	validated	validés	Easter		Wayne	Liberal	Libéral	9533	41.4	288	23327
Prince Edward Island	11004	Malpeque	Malpeque	validated	validés	Keenan		Anna	Green Party	Parti Vert	6103	26.5	288	23327
Prince Edward Island	11004	Malpeque	Malpeque	validated	validés	Nash		Craig	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1495	6.5	288	23327
Prince Edward Island	11004	Malpeque	Malpeque	validated	validés	Stewart		Stephen	Conservative	Conservateur	5908	25.6	288	23327
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	Dockrill		Michelle	Independent	Indépendant(e)	685	1.6	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	Doucet		Clive	Green Party	Parti Vert	3321	7.7	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	Joyce		Billy	People's Party	Parti populaire	925	2.2	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	Kelloway		Mike	Liberal	Libéral	16694	38.9	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	LeBlanc		Darlene Lynn	National Citizens Alliance	Alliance Nationale Citoyens	140	.3	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	MacLeod		Alfie	Conservative	Conservateur	14821	34.5	601	43541
Nova Scotia	12001	Cape Breton--Canso	Cape Breton--Canso	validated	validés	Suitor		Laurie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6354	14.8	601	43541
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Canyon		George	Conservative	Conservateur	13201	29.7	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Fraser		Sean	Liberal	Libéral	20718	46.6	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Frazer		Chris	Communist	Communiste	180	.4	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	MacDonald		Betsy	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5806	13.1	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Muir		Al	People's Party	Parti populaire	938	2.1	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Randle		Barry	Green Party	Parti Vert	3478	7.8	412	44882
Nova Scotia	12002	Central Nova	Nova-Centre	validated	validés	Slowik		Michael	Independent	Indépendant(e)	149	.3	412	44882
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Archer		William	People's Party	Parti populaire	608	1.3	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Armstrong		Scott	Conservative	Conservateur	16219	35.7	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Blanch		Jason	Green Party	Parti Vert	6015	13.2	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Duchesne		Larry	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5451	12	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Garvey		Stephen J	National Citizens Alliance	Alliance Nationale Citoyens	109	.2	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	O'Blenis		Jody	VCP	CAC	144	.3	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Rushton		Matthew V.	Independent	Indépendant(e)	232	.5	447	45897
Nova Scotia	12003	Cumberland--Colchester	Cumberland--Colchester	validated	validés	Zann		Lenore	Liberal	Libéral	16672	36.7	447	45897
Nova Scotia	12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Cole		Jason	Conservative	Conservateur	8638	16.1	404	53903
Nova Scotia	12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Fisher		Darren	Liberal	Libéral	24259	45.3	404	53903
Nova Scotia	12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Lindsay		Michelle	People's Party	Parti populaire	887	1.7	404	53903
Nova Scotia	12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	MacPherson		Lil	Green Party	Parti Vert	5280	9.9	404	53903
Nova Scotia	12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	validated	validés	Norton		Emma	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14435	27	404	53903
Nova Scotia	12005	Halifax	Halifax	validated	validés	Fillmore		Andy	Liberal	Libéral	23681	42.5	361	56113
Nova Scotia	12005	Halifax	Halifax	validated	validés	Holland		Bruce	Conservative	Conservateur	6456	11.6	361	56113
Nova Scotia	12005	Halifax	Halifax	validated	validés	McGenn		Duncan	People's Party	Parti populaire	633	1.1	361	56113
